"","year","BBmsy","Fdat","species"
"1","2005",0.511237460425826,2.0887899841412,"MTS_diva"
"2","2006",0.412007135151302,2.25789262692717,"MTS_diva"
"3","2007",0.354061387415976,2.08585107928364,"MTS_diva"
"4","2008",0.44140003989597,1.33897228263268,"MTS_diva"
"5","2009",0.603247436651851,1.03156274239414,"MTS_diva"
"6","2010",0.707969154471414,1.0131556340457,"MTS_diva"
"7","2011",0.727804078585305,1.09933202239214,"MTS_diva"
"8","2012",0.716022424373039,1.05836439327438,"MTS_diva"
"9","2013",0.780997100369168,0.926514649028181,"MTS_diva"
"10","2014",0.922698361840229,0.873140076207967,"MTS_diva"
"11","2015",0.95302970504525,1.03538628471799,"MTS_diva"
"12","2016",0.849367903282326,1.24437422749365,"MTS_diva"
"13","2017",0.763775592988779,1.26153827971845,"MTS_diva"
"14","2018",0.814705657184419,1.05277316213255,"MTS_diva"
"15","2019",0.95433321020918,0.876887320846589,"MTS_diva"
"16","2020",0.98066126666687,NA,"MTS_diva"
